"MOD","CAP","CAT","SUB","NROM","NUM","Departamento","Reportar","Nivel","Categorias","Rubro","Sector (Gráfica sectorial)","Sector (Colores histograma)","CO2abs","CO2","CH4","N2O","HFC-23","HFC-32","HFC-125","HFC-134a","HFC-143a","HFC-152a","HFC-227ea","HFC-236fa","HFC-245fa","HFC-365mfc","HFC-43-10mee","PFC-14","PFC-116","SF6","CO2abseq","CO2eq","CH4eq","N2Oeq","HFC-23eq","HFC-32eq","HFC-125eq","HFC-134aeq","HFC-143aeq","HFC-152aeq","HFC-227eaeq","HFC-236faeq","HFC-245faeq","HFC-365mfceq","HFC-43-10meeeq","PFC-14eq","PFC-116eq","SF6eq","Abosorciones_totales","Emisiones_Totales","Emisiones_Netas"
"1","A","5","b","i",,"CAUCA","SI","1A5biSI","1A5bi - Móvil (componente aviación)","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"2","A",,"null","null",,"CORDOBA","SI","2ASI","2A - Industria de los minerales","null","null","null",,"0",,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,"0","0"
"1","C","1","a","null",,"GUAINIA","SI","1C1aSI","1C1a - Gasoductos","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","1","b","null",,"GUAINIA","SI","1C1bSI","1C1b - Embarcaciones","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","1","c","null",,"GUAINIA","SI","1C1cSI","1C1c - Otros","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","2","null","null",,"GUAINIA","SI","1C2SI","1C2 - Inyección y almacenamiento","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","2","a","null",,"GUAINIA","SI","1C2aSI","1C2a - Inyección","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","2","b","null",,"GUAINIA","SI","1C2bSI","1C2b - Almacenamiento","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","3","null","null",,"GUAINIA","SI","1C3SI","1C3 - Otros","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C",,"null","null",,"AMAZONAS","SI","1CSI","1C - Transporte y almacenamiento de dióxido de carbono","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","1","null","null",,"AMAZONAS","SI","1C1SI","1C1 - Transporte de CO2","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","1","a","null",,"AMAZONAS","SI","1C1aSI","1C1a - Gasoductos","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","1","b","null",,"AMAZONAS","SI","1C1bSI","1C1b - Embarcaciones","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","1","c","null",,"AMAZONAS","SI","1C1cSI","1C1c - Otros","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","2","null","null",,"AMAZONAS","SI","1C2SI","1C2 - Inyección y almacenamiento","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","2","a","null",,"AMAZONAS","SI","1C2aSI","1C2a - Inyección","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","2","b","null",,"AMAZONAS","SI","1C2bSI","1C2b - Almacenamiento","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","C","3","null","null",,"AMAZONAS","SI","1C3SI","1C3 - Otros","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","A","5","b","ii",,"CAUCA","SI","1A5biiSI","1A5bii - Móvil (componente del sector marítimo y fluvial)","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"1","A","5","b","iii",,"CAUCA","SI","1A5biiiSI","1A5biii - Móvil (otros)","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"2","G","2","c","null",,"SAN ANDRES Y PROVIDENCIA","SI","2G2cSI","2G2c - Otros (especificar)","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"2","G","3","null","null",,"SAN ANDRES Y PROVIDENCIA","SI","2G3SI","2G3 - N2O de usos de productos","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"2","G","3","a","null",,"SAN ANDRES Y PROVIDENCIA","SI","2G3aSI","2G3a - Aplicaciones médicas","null","null","null",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0"
"3","A","1","b","null",,"BOLIVAR","SI","3A1bSI","3A1b - Búfalos","Fermentación entérica (ganado no bovino)","Agropecuario","Agropecuario",,,"1.678512",,,,,,,,,,,,,,,,,,"46.998336",,,,,,,,,,,,,,,,,"46.998336","46.998336"
"3","A","1","c","null",,"BOLIVAR","SI","3A1cSI","3A1c - Ovinos","Fermentación entérica (ganado no bovino)","Agropecuario","Agropecuario",,,"0.11017",,,,,,,,,,,,,,,,,,"3.08476",,,,,,,,,,,,,,,,,"3.08476","3.08476"
