mod,sub,nrom,departamento,categorias,co2abs,co2,ch4,n2o,hfc-23,hfc-32,hfc-125,hfc-134a,hfc-143a,hfc-152a,hfc-227ea,hfc-236fa,hfc-245fa,hfc-365mfc,hfc-43-10mee,pfc-14,pfc-116,sf6,co2abseq,co2eq,ch4eq,n2oeq,hfc-23eq,hfc-32eq,hfc-125eq,hfc-134aeq,hfc-143aeq,hfc-152aeq,hfc-227eaeq,hfc-236faeq,hfc-245faeq,hfc-365mfceq,hfc-43-10meeeq,pfc-14eq,pfc-116eq,sf6eq,abosorciones_totales,emisiones_totales,emisiones_netas,sector_principal
1.0,b,i,CAUCA,1A5bi - Móvil (componente aviación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
2.0,,,CORDOBA,2A - Industria de los minerales,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,0,Procesos Industriales
1.0,a,,GUAINIA,1C1a - Gasoductos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,,GUAINIA,1C1b - Embarcaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,c,,GUAINIA,1C1c - Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,,,GUAINIA,1C2 - Inyección y almacenamiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,,GUAINIA,1C2a - Inyección,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,b,,GUAINIA,1C2b - Almacenamiento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,,,GUAINIA,1C3 - Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,,,AMAZONAS,1C - Transporte y almacenamiento de dióxido de carbono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,,,AMAZONAS,1C1 - Transporte de CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
1.0,a,,AMAZONAS,1C1a - Gasoductos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Energía
